prenatal;renda;saneamento;desemprego;analfabet;Gini;fundamental;PIB_per_capita
24.19;186.61;0.138846035;11.5;21.1;0.5873;26.96;3006.97
29.59;315.2;0;4.79;20.7;0.5605;26.8;4527.96
39.1;502.04;0.35978836;6.86;13.1;0.5445;41.34;9081.83
39.08;526.45;11.58484797;9.35;9.3;0.5833;49.72;29010.19
41.63;543.09;0.910576699;13.6;13.1;0.725;31.23;4751.78
37.97;340.92;0.106647707;5.92;14.1;0.5864;32.92;4597.8
22.26;315.53;0.67813851;8.98;10.1;0.5139;38.34;3824.53
11.71;157.36;0.258941576;6.59;20.6;0.6308;24.1;3284.95
27.53;320.55;0.571236559;7.81;17.7;0.6065;30.68;6497.18
48.68;497.24;0.533310019;7.73;11.6;0.5722;38.68;11699.32
33.99;475.27;36.38743455;16.72;10.5;0.6192;61.06;29452.42
20.36;354.65;6.337633202;14.89;11.3;0.6258;41.89;11095.61
25.78;396.68;0.476947536;8.28;16.9;0.6164;41.07;10798.16
19.88;395.38;0.53428317;11.16;12.3;0.6722;43.79;12799.82
12.07;284.86;0.19379845;10.06;10.9;0.6144;50.18;13586.74
20.61;412.66;0.827067669;12.99;14.6;0.6006;45.89;13376.54
11.94;203.42;1.476793249;19.08;13.9;0.6368;35.14;8908.86
26.85;419.37;0.844354018;10.79;9.6;0.5606;52.18;8906.59
34.28;690.04;9.185531861;11.35;6;0.6037;65.98;13096.63
15.18;348.5;3.673354055;5.73;22.6;0.6509;35.83;8103.13
18.25;560.47;4.393710963;7.84;7.7;0.694;44.88;11520.27
21.93;349.25;0.31530439;13.43;12.7;0.5728;48.64;10259.65
11.79;227.06;0.124843945;5.47;10.4;0.6553;46.51;9797.51
31.5;448.3;3.232594582;13.76;9.4;0.5708;58.55;12267.78
10.03;240.38;0.177556818;9.23;16.6;0.6658;37.12;9776.61
27.38;297.28;0.290486565;18.8;14.4;0.6018;43.62;9385.9
29.55;615.87;1.447368421;7.19;12.9;0.7146;41.21;7992.13
44.87;365.16;21.63388805;7.28;15.9;0.4877;44.55;12309.65
55.32;349.27;0.522041763;14.34;15;0.4788;46.73;9245.29
31.95;353.21;0.913900914;11.61;22.8;0.5745;38.26;6242
58.94;535.21;2.629543697;3.36;9.2;0.4734;50.92;17721.1
72.68;378.14;21.59090909;5.42;19.2;0.4849;45.08;6850.16
52.94;288.07;0.237529691;4.82;17.4;0.4696;44.06;7534.6
45.95;314.06;0.4;4.92;14.8;0.4878;39.46;9371.61
37.05;355.15;0.354819633;6.42;23.5;0.5422;30.27;7660.07
39.34;304.94;0.10940919;7.97;17.1;0.5704;41.82;6879.38
57.53;416.73;0.204918033;10.32;14.1;0.512;43.61;13394.91
56.89;716.22;10.01185915;6.59;8.3;0.574;63.32;12777.53
40.7;362.25;2.08183776;7.31;16.9;0.5285;38.76;8767.62
36.66;332.12;0.502635773;6.87;20.4;0.5738;41.98;6353.55
41.92;431.95;0.868676546;5.18;16.7;0.5154;45.42;9806.6
34.04;406.21;0.56980057;9.72;21.2;0.6146;38.68;13763.02
34.85;358.25;8.615884812;7.13;20.9;0.5309;46.58;6372.55
45.81;531.77;0.633484163;2.24;20.2;0.6931;41.09;8196.52
30.11;322.45;22.92006525;6.29;23.4;0.4976;42.29;5834.88
37.35;308.27;0.316957211;4.89;18;0.4921;42.48;8881.96
41.26;260.72;0.43715847;5.59;18.1;0.5757;38.93;17426.04
40.98;252.85;14.1025641;15.74;21.5;0.5505;39.39;7872.75
42.89;317.95;1.972010178;10.23;16.6;0.4792;36.61;7895.89
51.96;339.25;2.008928571;6.06;20.8;0.4364;40.98;11832.5
31.59;374.91;0.095238095;6.98;14.9;0.5044;42.85;9486.83
57.76;423.33;5.081967213;3.96;13.9;0.541;44.04;11436.69
65.27;410.89;0.197628458;8.17;18.4;0.5613;47.13;11298.41
39.7;278.94;0.219106047;13.52;22.3;0.5732;48.61;5085.21
48.47;239.51;16.78571429;4.52;17.1;0.4735;44.68;6331.17
27.22;256.41;1.647183847;17.44;20.1;0.6791;32.3;30233.75
61.64;423.77;0;7.5;14.3;0.4653;40.98;18525.44
51.56;371.22;0.903614458;8.79;18.5;0.5013;40.67;11319.63
36.43;233.01;12.89978678;11.29;29.3;0.5609;36.42;5595.54
45.18;442.28;2.908277405;4.29;17.2;0.6171;40.48;7771.7
42.94;275.94;0;13.09;29.1;0.6363;34.83;7193.55
42.86;364.98;0.220264317;7.17;16.6;0.5254;36.55;9933.41
54.51;305.65;0.431499461;10.76;20.5;0.6287;34.75;10869.3
41.6;562.22;19.83588621;7.33;12.1;0.5841;48.93;9268.17
47.44;434.31;0.27835769;9.58;16.2;0.5196;47.95;8083.39
34.17;302.5;1.295336788;7.88;22.2;0.5437;34.51;6463.22
46.18;282.7;0.703729768;10.74;17.1;0.5538;37.63;8519.18
52;485.09;0.529801325;7;12.6;0.5788;44.02;8637.26
66.98;334.87;1.020408163;5.02;11.8;0.4706;38.11;15114.89
46.59;324.59;22.08754209;7.14;20.8;0.5192;30.75;10002.23
44.04;521.54;0.717889018;8.91;13.1;0.5666;50.39;11479.77
53.94;500.81;0.154320988;6.4;15.1;0.6486;43.99;8815.91
39.84;234.55;0.043956044;1.98;17.5;0.577;32.17;8591.08
59.05;452.83;0.553250346;5.45;12.7;0.5618;43.5;14962.88
21.71;171.56;13.85435169;18.52;22.9;0.561;37.12;5178.42
53.31;449.79;0.175746924;11.03;15.4;0.566;47.84;9569.86
64.87;485.06;0.346020761;10.6;16.4;0.5311;45.18;14318.14
24.09;286.56;0.78878177;7.42;20.2;0.5438;36.57;8283.15
57.53;416.72;2.876354128;8.27;12.2;0.526;46.88;16306.89
30.34;361.24;1.162790698;7.15;17;0.4792;42;22967.34
29.21;323.39;0.065530799;6.49;15.5;0.543;33.83;9112.15
19.31;225.99;0.802675585;6.59;24;0.6268;34.02;8688.96
48.91;713.56;8.956721124;5.7;11.2;0.6157;54.71;13049.73
60.49;755.41;17.40383788;6.48;6.5;0.5386;64.23;14369.09
39.55;284.64;1.351351351;4.39;16.6;0.4313;35.52;11442.89
19.95;299.16;18.61702128;6.82;17;0.5928;38.42;8033.53
33.74;264.42;17.5308642;6.14;24.7;0.5611;36.01;6267.26
28.13;353.06;0;5.41;19.2;0.5228;29.1;10371.8
56.44;357.25;0;6.31;19.4;0.4449;36.87;12587.18
61.29;515.72;0.262927257;2.69;11.5;0.6537;33.53;9499.08
44.71;251.45;0.147492625;2.22;14;0.5442;37.75;8252.47
38.29;402.17;0.340522134;4.62;12.6;0.5102;42.06;29677.77
25.78;229.53;0.111234705;6.54;20.9;0.6189;35.01;5788.58
52.89;499.13;5.368289638;8.42;10;0.597;45.36;9665.48
46.92;329.74;2.857142857;7.16;22.1;0.5088;46.36;7996.69
20.69;280.94;0.690335306;4.8;23.2;0.7596;31.66;5471.13
37.69;308.15;0.137551582;9.59;16.4;0.4964;45.77;7089.33
40.69;400.74;0.149365198;5.65;18.4;0.5329;39.11;9939.08
15.81;303.9;2.697841727;9.11;24.7;0.5279;34.47;31704.12
34.35;226.22;0;3.88;23.6;0.5227;35.59;6080.14
41.19;502.29;0.740740741;6.13;10.9;0.557;48.41;28773.65
32.54;395.79;1.978891821;6.15;13.9;0.4956;45.07;8365.65
55.19;345.06;1.114058355;4.12;19.5;0.626;35.98;14745.87
42.76;273.6;0.145772595;6.61;14.8;0.4928;37.52;9735.34
